INSTRUCTION DIVISION
TIMETABLE SECOND SEMESTER 2016-2017
"January 12, 2017"
II. COURSEWISE TIMETABLE,,,,,,2,,SECOND SEMESTER 2016-2017,,,,






278,CE G527,CONSTRUCTION MANGEMENT,3,1,4,1,BAHURUDEEN A,6104,M W F,3,05/05,AN
2024,CE G547,PAV FAIL EVAL & REHABIL,3,1,4,1,AMIT GOEL,6153,T Th S,5,11/05,AN
,,,,,,Vidhi Vyas,,,,,,
532,CE G553,THEORY OF PLATES & SHELL,3,1,4,1,SHUVENDU N PATEL,6162,M W F,3,05/05,AN
345,CE G612,ADVANCED STEEL STRUCTURE,3,1,4,1,SHAMSHER B SINGH,6158,M W F,4,13/05,AN
613,CE G614,PRESTRESS CONCRETE STRUC,3,1,4,1,SHAMSHER B SINGH,6104,T Th S,3,03/05,AN
108,CE G615,EARTHQUAKE ENGINEERING,3,1,4,1,RAVI KANT MITTAL,6158,T Th S,5,11/05,AN
,,,,,,G Muthukumar,,,,,,
1180,CHE F241,HEAT TRANSFER,3,-,3,1,PRATIK N SHETH,6105,M W F,3,11/05,FN
,,Tutorial,,,1,Arvind Kumar Sharma,6105,T,1,,,
,,,,,2,Pratik N Sheth,6106,T,1,,,
,,,,,,Shweta Sharma,,,,,,
1181,CHE F242,NUM METHOD FOR CHEM ENGG,3,-,3,1,AJAY KUMAR PANI,6105,T Th S,4,09/05,FN
,,Tutorial,,,1,Ajay Kumar Pani,6105,W,1,,,
,,,,,2,Srinivas Appari,6106,W,1,,,
,,,,,,Venkata Vijayan S,,,,,,
1182,CHE F243,MATERIAL SCIENCE & ENGG,3,-,3,1,BANASRI ROY,6105,T Th S,3,13/05,FN
,,Tutorial,,,1,Banasri Roy,6105,M,1,,,
,,,,,2,Raman Sharma,6106,M,1,,,
1183,CHE F244,SEPARATION PROCESSES I,3,-,3,1,SURESH GUPTA,6105,M W F,4,05/05,FN
,,Tutorial,,,1,Suresh Gupta,6105,Th,1,,,
,,,,,,Shailee Gaur,,,,,,
,,,,,2,Ajay Kumar Pani,6106,Th,1,,,
1653,CHE F266,STUDY PROJECT,-,-,3,1,HK MOHANTA,,,,,
1188,CHE F341,CHEMICAL ENGG LAB II,-,3,3,1,RAMAN SHARMA,1120,M F,4 5,,
